X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
27.0,17.0,28.0,4.0,1873.0,855.1151184318229,592.1321870728979,3.0,-0.18171250370178507,120.0,76.0,28.0,54.0,34.0,56.0,27.0,70.0,28.0,120.0,312.0,28.0,54.0,140.0,56.0,8.0,0.0,236.0,0.0,0.0,53.0,0.0,81
25.0,31.0,34.0,5.0,1779.0,761.1151184318229,728.5885249293966,8.0,-0.021834271297770685,111.0,138.0,34.0,50.0,62.0,68.0,25.0,84.0,34.0,111.0,374.0,34.0,50.0,168.0,68.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,82
48.0,29.0,46.0,5.0,1845.0,827.1151184318229,591.1640707750596,6.0,-0.1663643163154003,213.0,129.0,46.0,96.0,58.0,92.0,48.0,82.0,46.0,213.0,365.0,46.0,96.0,164.0,92.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,83
24.0,28.0,46.0,5.0,1625.0,607.1151184318229,504.82882404710205,4.0,-0.0919887149676698,107.0,124.0,46.0,48.0,56.0,92.0,24.0,81.0,46.0,107.0,360.0,46.0,48.0,162.0,92.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,84
26.0,16.0,38.0,5.0,1869.0,851.1151184318229,650.4475096295772,7.0,-0.13363918697238664,116.0,71.0,38.0,52.0,32.0,76.0,26.0,69.0,38.0,116.0,307.0,38.0,52.0,138.0,76.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,85
50.0,53.0,27.0,2.0,1964.0,962.9440765325616,393.6392113020906,1.0,-0.4196608275627387,222.0,236.0,27.0,100.0,106.0,54.0,104.0,53.0,27.0,462.0,236.0,27.0,208.0,106.0,54.0,4.0,240.0,0.0,0.0,54.0,0.0,0.0,86
19.0,53.0,27.0,2.0,1827.0,825.9440765325616,423.67745766749204,1.0,-0.32191076086295267,84.0,236.0,27.0,38.0,106.0,54.0,73.0,53.0,27.0,324.0,236.0,27.0,146.0,106.0,54.0,4.0,240.0,0.0,0.0,54.0,0.0,0.0,87
16.0,53.0,34.0,2.0,1162.0,160.94407653256155,47.771075964249455,1.0,-0.5422366283159115,71.0,236.0,34.0,32.0,106.0,68.0,70.0,53.0,34.0,311.0,236.0,34.0,140.0,106.0,68.0,4.0,240.0,0.0,0.0,54.0,0.0,0.0,88
54.0,51.0,21.0,2.0,1827.0,825.9440765325616,298.3577182153637,1.0,-0.4692568852791752,240.0,227.0,21.0,108.0,102.0,42.0,108.0,51.0,21.0,480.0,227.0,21.0,216.0,102.0,42.0,4.0,240.0,0.0,0.0,54.0,0.0,0.0,89
20.0,51.0,41.0,2.0,976.0,-1.0,0.7258654448573014,1.0,-6.2956873275567755,89.0,227.0,41.0,40.0,102.0,82.0,74.0,51.0,41.0,329.0,227.0,41.0,148.0,102.0,82.0,4.0,240.0,0.0,0.0,54.0,0.0,0.0,90
