,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
217,5.0,52.0,13.0,3.0,1664.0,588.0249754129422,415.29824865327777,5.0,52.0,13.0,0,0,0
218,36.0,51.0,44.0,3.0,1338.0,262.02497541294224,95.37224212419493,36.0,51.0,44.0,0,0,0
219,20.0,51.0,21.0,3.0,1499.0,423.02497541294224,254.28177995355617,20.0,51.0,21.0,0,0,0
220,14.0,49.0,44.0,3.0,1483.0,407.02497541294224,283.59461875344175,14.0,49.0,44.0,0,0,0
221,51.0,47.0,9.0,3.0,1840.0,764.0249754129422,518.3668415269179,51.0,47.0,9.0,0,0,0
222,7.0,47.0,59.0,3.0,1497.0,421.02497541294224,264.5506490515856,7.0,47.0,59.0,0,0,0
223,20.0,46.0,28.0,3.0,1459.0,383.02497541294224,240.40260195134934,20.0,46.0,28.0,0,0,0
224,16.0,46.0,59.0,3.0,1842.0,766.0249754129422,442.85718213585,16.0,46.0,59.0,0,0,0
225,51.0,45.0,32.0,3.0,1218.0,142.02497541294224,31.70944640548958,51.0,45.0,32.0,0,0,0
226,42.0,45.0,41.0,3.0,1369.0,293.02497541294224,98.74913326141929,42.0,45.0,41.0,0,0,0
227,40.0,45.0,9.0,3.0,1603.0,527.0249754129422,380.7384783136332,40.0,45.0,9.0,0,0,0
228,4.0,45.0,6.0,3.0,1280.0,204.02497541294224,62.61251665253224,4.0,45.0,6.0,0,0,0
229,20.0,44.0,13.0,3.0,1605.0,529.0249754129422,354.67356356431367,20.0,44.0,13.0,0,0,0
230,5.0,43.0,64.0,3.0,1463.0,387.02497541294224,272.3563984300132,5.0,43.0,64.0,0,0,0
231,4.0,43.0,21.0,3.0,1824.0,748.0249754129422,553.2432349169245,4.0,43.0,21.0,0,0,0
232,60.0,42.0,21.0,3.0,1555.0,479.02497541294224,363.65526891151984,60.0,42.0,21.0,0,0,0
233,59.0,42.0,6.0,3.0,1894.0,818.0249754129422,499.065542796271,59.0,42.0,6.0,0,0,0
234,19.0,41.0,42.0,3.0,1423.0,347.02497541294224,90.8046242191758,19.0,41.0,42.0,0,0,0
235,19.0,41.0,3.0,3.0,1644.0,568.0249754129422,463.4491262435542,19.0,41.0,3.0,0,0,0
236,14.0,41.0,25.0,3.0,1717.0,641.0249754129422,404.7552643066747,14.0,41.0,25.0,0,0,0
